"","year","age","value","model","value_lower","value_upper"
"1",1958,1,0.0105721303605098,"Independent model",0.00143756593336727,0.0765749097634285
"2",1959,1,0.0126450765251657,"Independent model",0.00151194388148375,0.111871034036387
"3",1960,1,0.0178184234779483,"Independent model",0.00174243737371038,0.197524138375548
"4",1961,1,0.0874205244605025,"Independent model",0.00335674108794904,0.268711139890277
"5",1962,1,0.0225070683408912,"Independent model",0.0022526861562673,0.156684934565926
"6",1963,1,0.0103486129788973,"Independent model",0.00139269912728624,0.0547406026449292
"7",1964,1,0.0122441439424852,"Independent model",0.00164815191307231,0.0564917692292089
"8",1965,1,0.00700736975468486,"Independent model",0.0012214431174285,0.0284775154170981
"9",1966,1,0.00870289814258651,"Independent model",0.00138035634650137,0.0454500640182306
"10",1967,1,0.0129203022840242,"Independent model",0.00166270499543086,0.0556766743989459
"11",1968,1,0.0229494339153202,"Independent model",0.00195729953636348,0.109758685264616
"12",1969,1,0.145234432572867,"Independent model",0.0809258824959147,0.208773694163278
"13",1970,1,0.251556828376909,"Independent model",0.190225705695883,0.318175550630893
"14",1971,1,0.0247884614060009,"Independent model",0.00472031789587611,0.0818686510816254
"15",1972,1,0.00951148245359412,"Independent model",0.002148721722677,0.0334493422071775
"16",1973,1,0.00672685554885549,"Independent model",0.00131477287623985,0.0270038266376332
"17",1958,2,NA,"Independent model",NA,NA
"18",1959,2,0.012460360382193,"Independent model",0.00144036077310178,0.111700894782446
"19",1960,2,0.0172635137168214,"Independent model",0.00165288129564245,0.192799078601427
"20",1961,2,0.085730526816718,"Independent model",0.00315739262857766,0.263646996000236
"21",1962,2,0.0196767919228682,"Independent model",0.00192533263335234,0.153381887912043
"22",1963,2,0.0100673459857048,"Independent model",0.00132750160887139,0.0539899065665961
"23",1964,2,0.0120275882414437,"Independent model",0.00160432379163476,0.0555225539620166
"24",1965,2,0.00689344348411071,"Independent model",0.00120555423111794,0.0282080563465171
"25",1966,2,0.00863448543145002,"Independent model",0.00137153956228834,0.0448630993314938
"26",1967,2,0.0127818495883476,"Independent model",0.00165382083850356,0.0553240506864261
"27",1968,2,0.0225381805350014,"Independent model",0.00186690527486075,0.107375328633334
"28",1969,2,0.141477131089527,"Independent model",0.0768739977689485,0.204968730310481
"29",1970,2,0.215020299431643,"Independent model",0.160677817919661,0.281319800423909
"30",1971,2,0.0183470941118549,"Independent model",0.00348658286917157,0.061879396494829
"31",1972,2,0.00919955766002071,"Independent model",0.0020840729662883,0.033213359078028
"32",1973,2,0.00663995799115569,"Independent model",0.00128375547106176,0.0267975138003561
"33",1958,3,NA,"Independent model",NA,NA
"34",1959,3,NA,"Independent model",NA,NA
"35",1960,3,0.0167857318572581,"Independent model",0.00159609734533017,0.190791264262546
"36",1961,3,0.0833715736090715,"Independent model",0.00313680045289927,0.260894667671057
"37",1962,3,0.0190460730744465,"Independent model",0.00182899622821754,0.150761483564348
"38",1963,3,0.00868457148866336,"Independent model",0.00117830787115093,0.0492759280069933
"39",1964,3,0.0116742009258187,"Independent model",0.00155512721759961,0.0553784151316481
"40",1965,3,0.00682071880756854,"Independent model",0.0011975633333599,0.0281046875732938
"41",1966,3,0.00846086105847047,"Independent model",0.00135440497351906,0.0442429696527311
"42",1967,3,0.012694873641761,"Independent model",0.00164314580307699,0.0552111425578359
"43",1968,3,0.0223960922991892,"Independent model",0.00184712132663457,0.106792247101726
"44",1969,3,0.139401723190397,"Independent model",0.0735670435121993,0.201707309504791
"45",1970,3,0.207854844050263,"Independent model",0.1502579508575,0.276302125958056
"46",1971,3,0.0158727249761865,"Independent model",0.00305062784075536,0.0549286173381028
"47",1972,3,0.00682101373244498,"Independent model",0.00157287284411647,0.025503567450751
"48",1973,3,0.00641888442679211,"Independent model",0.00122959141765485,0.0259445765621322
"49",1958,4,NA,"Independent model",NA,NA
"50",1959,4,NA,"Independent model",NA,NA
"51",1960,4,NA,"Independent model",NA,NA
"52",1961,4,0.0822450073887833,"Independent model",0.00309552185771453,0.257196295819666
"53",1962,4,0.0185437978899736,"Independent model",0.00178466615960102,0.149193463850742
"54",1963,4,0.00839061041978612,"Independent model",0.00114538462761737,0.0455213895090542
"55",1964,4,0.0104124721918142,"Independent model",0.00140170098945753,0.0524462950738465
"56",1965,4,0.00653378174209279,"Independent model",0.00115753726407597,0.0274553413974984
"57",1966,4,0.00837522607652641,"Independent model",0.00131618602884825,0.0432872604272233
"58",1967,4,0.0123335003449147,"Independent model",0.00160521539027555,0.0549877030249411
"59",1968,4,0.0221023225948596,"Independent model",0.00182636969076805,0.106398082002218
"60",1969,4,0.137824770280851,"Independent model",0.0727985298827084,0.199700591313506
"61",1970,4,0.204785707417988,"Independent model",0.147355984623362,0.268699223935002
"62",1971,4,0.0153083463680361,"Independent model",0.00284411141321836,0.0535831420426379
"63",1972,4,0.00584267519548252,"Independent model",0.00130994184818195,0.0217420034006178
"64",1973,4,0.00476377967083074,"Independent model",0.000915611431360495,0.0198082417394612
"65",1958,5,NA,"Independent model",NA,NA
"66",1959,5,NA,"Independent model",NA,NA
"67",1960,5,NA,"Independent model",NA,NA
