"","year","age","value","model","value_lower","value_upper"
"1",1958,1,3.62017099631018e-09,"Two-outbreak model",0,2.08735576429725e-05
"2",1959,1,5.55778548394503e-06,"Two-outbreak model",0,0.00292180250983443
"3",1960,1,0.00116993844017077,"Two-outbreak model",0,0.0536364747096679
"4",1961,1,0.0317610910692212,"Two-outbreak model",0,0.15031532248833
"5",1962,1,0.0870910914729939,"Two-outbreak model",3.33066907387547e-16,0.14583219419332
"6",1963,1,0.0190445944006271,"Two-outbreak model",1.5396653396671e-11,0.113535970391278
"7",1964,1,0.00043141124572621,"Two-outbreak model",8.35498748935626e-08,0.0382862409982082
"8",1965,1,3.42028447665732e-05,"Two-outbreak model",1.41728442148992e-08,0.0027997178303063
"9",1966,1,6.33011469353129e-07,"Two-outbreak model",6.61339159269136e-08,0.0278385436643655
"10",1967,1,0.00023046444720376,"Two-outbreak model",4.41660691879509e-05,0.117739450062879
"11",1968,1,0.0173646191702955,"Two-outbreak model",0.00604039976544719,0.136758237504629
"12",1969,1,0.139185279754517,"Two-outbreak model",0.0627749740228048,0.202527620006409
"13",1970,1,0.218180746243985,"Two-outbreak model",0.136900250322216,0.268016202679736
"14",1971,1,0.0551782539736271,"Two-outbreak model",0.0280702014403162,0.0956205672662324
"15",1972,1,0.00186250859538328,"Two-outbreak model",0.000550489691874193,0.00592236307125907
"16",1973,1,8.15384271818376e-06,"Two-outbreak model",1.39022569100311e-06,5.51217081449062e-05
"17",1958,2,NA,"Two-outbreak model",NA,NA
"18",1959,2,5.55778546301219e-06,"Two-outbreak model",0,0.0029217369807947
"19",1960,2,0.00116993201373046,"Two-outbreak model",0,0.0535110900684339
"20",1961,2,0.0317206600448527,"Two-outbreak model",0,0.142653752101725
"21",1962,2,0.0808604960273321,"Two-outbreak model",3.33066907387547e-16,0.136065998503416
"22",1963,2,0.0169190664605373,"Two-outbreak model",1.5396653396671e-11,0.104695875340373
"23",1964,2,0.000423206534083652,"Two-outbreak model",8.35498748922762e-08,0.0342551407593941
"24",1965,2,3.40717348267052e-05,"Two-outbreak model",1.41726218613811e-08,0.00272829640461063
"25",1966,2,6.32995942250972e-07,"Two-outbreak model",6.6133908303089e-08,0.0278155076879078
"26",1967,2,0.000230464344452821,"Two-outbreak model",4.41660661852671e-05,0.114779118581814
"27",1968,2,0.0173606634761063,"Two-outbreak model",0.00604014758139089,0.125705019287269
"28",1969,2,0.137423832753771,"Two-outbreak model",0.056433563347849,0.197025523961767
"29",1970,2,0.1834870002882,"Two-outbreak model",0.125559599994768,0.230139739466149
"30",1971,2,0.0435889493740847,"Two-outbreak model",0.0233083160883895,0.073723962916652
"31",1972,2,0.0017599699192047,"Two-outbreak model",0.000534515247172357,0.00545738182194064
"32",1973,2,8.13818826721331e-06,"Two-outbreak model",1.38945247834933e-06,5.47974429341382e-05
"33",1958,3,NA,"Two-outbreak model",NA,NA
"34",1959,3,NA,"Two-outbreak model",NA,NA
"35",1960,3,0.00116993200964758,"Two-outbreak model",0,0.0535103669463383
"36",1961,3,0.031720436267904,"Two-outbreak model",0,0.142348787202948
"37",1962,3,0.0801758610088407,"Two-outbreak model",3.33066907387547e-16,0.135610387082097
"38",1963,3,0.0153353498499376,"Two-outbreak model",1.5396653396671e-11,0.104395817274272
